roll,pitch,yaw,x,y,z
-1.63635,-0.0581676,-1.51421,0.16071,-0.0954191,-0.0649162
-1.62713,-0.0822516,-1.3299,0.164941,-0.21164,-0.0834892
-1.72511,-0.0256819,-1.4745,0.162235,-0.201439,0.0661177
-1.57968,0.126215,-1.58744,0.175485,0.0267103,-0.139965
-1.62562,0.0477566,-1.59386,0.176614,0.0167466,-0.0872513
-1.58677,0.0113075,-1.53939,0.173778,-0.0472284,-0.130051
-1.52238,0.0072567,-1.63793,0.221971,0.060623,-0.199958
-1.57836,0.00473494,-1.61201,0.199347,0.0420058,-0.143283
-1.63226,-0.0704768,-1.53354,0.179941,-0.062142,-0.0719338
-1.57781,0.0662278,-1.56563,0.178167,-0.00618464,-0.142472
-1.80509,-0.246422,-1.64671,0.120982,0.0170738,-0.130451
-1.56155,0.0483948,-1.62141,0.250937,0.0323765,-0.165632
-1.61835,-0.0120256,-1.51674,0.179921,-0.084912,-0.087538
-1.68938,-0.213596,-1.49849,0.21497,-0.10746,0.00613831
-1.6841,0.14654,-1.68032,0.211842,0.125402,0.00754228
-1.766,-0.363049,-1.4317,0.149558,-0.0769647,-0.153294
-1.68767,-0.19088,-1.45276,0.171696,-0.068014,-0.00173576
-1.66922,-0.306458,-1.52515,0.120324,-0.0776618,-0.0364958
-1.60932,-0.0362795,-1.56878,0.153129,-0.0178943,-0.1015
-1.64382,0.0307126,-1.53555,0.185533,-0.0584372,-0.0517194
-1.66115,-0.107308,-1.54091,0.182993,-0.0503272,-0.0361967
-1.6771,-0.145835,-1.4796,0.173321,-0.141384,-0.00932232
-1.67914,-0.133392,-1.47014,0.155548,-0.15479,-0.00627347
-1.63096,-0.0916159,-1.62948,0.1952,0.0506427,-0.071998
-1.6755,-0.174084,-1.52269,0.162073,-0.076992,-0.00871724
-1.69665,0.0525708,-1.63032,0.17911,0.056737,0.00157555
-1.68489,-0.251303,-1.48427,0.130911,-0.0899773,-0.00819829
-1.65379,-0.175277,-1.48787,0.168861,-0.21404,-0.0511377
-1.59084,0.0034743,-1.69025,0.216493,0.143341,-0.12609
-1.65319,0.217024,-1.61806,0.16885,0.0665437,-0.0191845
-1.67037,-0.350416,-1.51804,0.16487,-0.0765061,-0.02374
-1.56934,0.275707,-1.57074,0.225116,0.0366288,-0.145826
-1.67171,-0.269057,-1.49782,0.188419,-0.0385705,-0.0163955
-1.5617,-0.00662793,-1.68297,0.23073,0.112183,-0.155268
-1.66425,-0.31802,-1.47544,0.167711,-0.133239,-0.0333995
-1.53844,0.260713,-1.51917,0.169697,-0.0297086,-0.176612
-1.54797,0.0619881,-1.65017,0.252239,0.099426,-0.184253
-1.66677,-0.18494,-1.50407,0.210421,-0.0714486,-0.036497
-1.62889,-0.107021,-1.52077,0.218186,-0.0680626,-0.0796149
-1.60939,-0.0591575,-1.57025,0.164841,-0.021873,-0.106157
-1.66198,-0.152052,-1.54113,0.171921,-0.0556253,-0.042669
-1.63201,-0.223652,-1.53358,0.22089,-0.0513517,-0.0605123
-1.67958,-0.175824,-1.55532,0.178129,-0.0302067,-0.0070644
-1.65019,0.419789,-1.67958,0.141622,0.0553824,-0.00202358
-1.52773,0.407909,-1.57143,0.119925,0.0016876,0.045502
-1.57608,0.0177742,-1.62818,0.195676,0.0370828,-0.142976
-1.66334,-0.119491,-1.49504,0.180706,-0.121147,-0.027858
-1.61931,-0.0249535,-1.58871,0.192564,0.00255042,-0.0954292
-1.66048,-0.11661,-1.42773,0.166144,-0.213678,-0.0376024
-1.5657,0.256577,-1.59456,0.169939,0.0299071,-0.137186
